"/opt/iozone/bin/iozone -Rab /tmp/new/magellan_nfs_fix_1.wks -i 0 -i 1 -+u -f /mnt/nfs/iozone_57.tst -y 64k -q 64k -n 64m -g 1g -z ",,,,,,
" ",,,,,,
"The top row is records sizes, the left column is file sizes",,,,,,
"Writer Report",,,,,,
,64,64,64,64,64,64
65536,694053,721588,710917,718871,725669,706542
131072,750118,757786,771179,791301,766965,758308
262144,17400,18113,17396,18270,18629,18524
524288,17902,15330,15974,15678,18010,14703
1048576,14203,14295,14367,14127,14318,14341
"Re-writer Report",,,,,,
,64,64,64,64,64,64
65536,878403,882009,880090,892532,878863,857789
131072,857694,863633,852910,866311,871246,862496
262144,22001,20604,17905,21445,20905,21123
524288,7653,7166,7396,7394,7354,7632
1048576,5829,5911,5807,5951,5784,5696
"Reader Report",,,,,,
,64,64,64,64,64,64
65536,2165974,2186359,2154020,2142464,2179947,2152807
131072,2489497,2498988,2488083,2506008,2497651,2501802
262144,2758393,2725247,2729557,2734369,2736080,2730435
524288,11734,13312,12324,13421,11830,13483
1048576,13060,13190,13285,13234,12738,13254
"Re-reader Report",,,,,,
,64,64,64,64,64,64
65536,2879945,2841609,2863223,2837684,2837903,2874400
131072,2909470,2954860,2962484,2946037,2933242,2933251
262144,3030529,3002351,2996481,2998091,3004378,2996616
524288,13744,13448,13378,13154,13040,13010
1048576,12847,12135,13216,12399,12974,12649
,,,,,,
"Writer CPU utilization report (Zero values should be ignored)",,,,,,
,64,64,64,64,64,64
65536,2.66366171836853,2.73066711425781,2.70880627632141,2.22449803352356,2.6955943107605,2.82024931907654
131072,2.72765183448791,2.32738184928894,2.58675765991211,2.09894466400146,2.7816891670227,2.66868138313293
262144,2.17375326156616,2.13034892082214,1.90434348583221,2.15224719047546,2.15012121200562,2.11717772483826
524288,2.01004076004028,1.87270665168762,1.86927139759064,1.82224369049072,2.01907086372375,1.78264784812927
1048576,1.8990490436554,1.80116081237793,1.91726326942444,1.83697879314423,1.95297133922577,1.94254410266876
"Re-writer CPU utilization report (Zero values should be ignored)",,,,,,
,64,64,64,64,64,64
65536,2.52514696121216,2.50710368156433,2.67042684555054,2.21842789649963,2.90452647209167,2.65096640586853
131072,3.153804063797,2.97196102142334,2.84431791305542,3.01089429855347,2.68636465072632,2.87337255477905
262144,2.34636473655701,2.09975099563599,2.05986547470093,2.26397466659546,2.19730997085571,2.19995880126953
524288,0.869710147380829,0.832752645015717,0.839710295200348,0.82415121793747,0.817709624767303,0.850393354892731
1048576,0.755754947662354,0.780353903770447,0.759417951107025,0.776349306106567,0.757122874259949,0.754752814769745
"Reader CPU utilization report (Zero values should be ignored)",,,,,,
,64,64,64,64,64,64
65536,100,100,99.8004379272461,95.7052993774414,97.235107421875,99.7008819580078
131072,99.7195434570313,99.8586654663086,99.4316635131836,97.9742736816406,100,100
262144,100,100,99.1950149536133,99.2616729736328,99.5209350585938,100
524288,1.37766027450562,1.62343609333038,1.49752306938171,1.62226128578186,1.27228271961212,1.56499636173248
1048576,1.46797811985016,1.55901324748993,1.61931717395782,1.59911525249481,1.46925365924835,1.54633986949921
"Re-reader CPU utilization report (Zero values should be ignored)",,,,,,
,64,64,64,64,64,64
65536,98.8777542114258,97.6024551391602,98.3532562255859,97.3084182739258,100,98.6101684570312
131072,98.7509231567383,100,100,97.7035675048828,99.5288696289063,99.5420913696289
262144,99.9447174072266,100,99.9294967651367,100,100,99.9796524047852
524288,1.66105020046234,1.47176802158356,1.59644770622253,1.52005898952484,1.49900710582733,1.58719086647034
1048576,1.44525682926178,1.40565073490143,1.54978394508362,1.46951127052307,1.53137493133545,1.5051257610321
